text,label
Double your Bitcoins in 24 hours! Automated crypto trading bot with guaranteed 200% ROI. Join our telegram channel now.,Spam
"Hi team, just a quick heads up that the staging environment will undergo scheduled maintenance tonight at 11 PM.",Ham
"Hi Alex, attached is the revised proposal with the updated pricing table we discussed.",Ham
"Hi team, please update your JIRA tickets with the latest progress before our sprint retrospective.",Ham
Urgent: Action required on your tax return. Claim your additional stimulus payment now.,Spam
Your Google Drive quota exceeded! Clear space or purchase storage plan to continue receiving emails.,Spam
Your library books are due in 3 days. Log in to renew your loans or return them to avoid late fees.,Ham
Get instant followers and likes on TikTok! Guaranteed viral growth for your account.,Spam
"Hey, don't forget to submit your timesheet for this pay period by 5 PM today.",Ham
"Hey John, are we still on for lunch today at 12:30 PM? Let me know if that place around the corner works for you.",Ham
"Hi everyone, please remember to submit your annual benefit selection preferences by the end of the month.",Ham
"Hi all, please welcome our new designer Maya to the team! She brings extensive UI/UX design experience.",Ham
Thanks for organizing the team dinner last night! It was great catching up with everyone outside of work.,Ham
"Make money with online poker! $1,000 welcome bonus for new players. Play live tables and win real cash.",Spam
"Alert: Password change requested for your Coinbase account. If you did not request this, click here immediately.",Spam
"Urgent message regarding your pension plan. You qualify for an additional lump sum payout of $45,000.",Spam
"Good afternoon, attached is the monthly newsletter with updates on company events and accomplishments.",Ham
"Financial aid notification: You are eligible for $7,500 federal education grant. Claim your grant today.",Spam
Thanks for the quick reply! I'll go ahead and finalize the vendor contract based on these terms.,Ham
You have received a $500 Walmart E-Gift card. Click here to claim your reward before midnight.,Spam
"Hi team, the server monitoring alert has been resolved. CPU usage is back to normal parameters.",Ham
Earn up to $50/hour filling out paid market research surveys from your phone! Sign up free today.,Spam
Here is the weekly status report for the engineering department. All milestones were achieved on schedule.,Ham
Your car service appointment at Honda Service Center is confirmed for Thursday at 8:00 AM.,Ham
"CONGRATULATIONS: You are today's visitor #100,000! Spin the wheel to win cash prizes up to $10,000.",Spam
Don't miss out! Limited time opportunity to invest in top pre-IPO tech startup. Expected 10x returns.,Spam
"Hi Sriram, please review the revised SLA agreement document when you have a moment.",Ham
"Congratulations! You have been selected to receive a free $1,000 Amazon Gift Card! Claim your reward now by clicking this link.",Spam
WARNING: Your Windows license key has expired! Renew now to prevent system shutdown.,Spam
Free casino spins! Deposit $10 and get $500 bonus cash instantly. Cash out winnings immediately without restrictions.,Spam
"Exclusive offer: Make $5,000 per week working from home! No experience required. Guaranteed high return on investment.",Spam
Work 2 hours a day and earn $800 daily! Simple data entry job online. Immediate start available.,Spam
"Hey, do you want to grab coffee from the cafeteria before the 2 PM product review meeting?",Ham
Your dentist appointment is scheduled for next Monday at 10:00 AM. Reply C to confirm.,Ham
"Hey, do you know where the documentation for the legacy authentication service is stored?",Ham
"Hey, just following up on our email from yesterday regarding the API rate limiting implementation.",Ham
"Hi everyone, the code freeze for the upcoming release v2.4 will start on Friday at midnight.",Ham
Hi standard shipping update: Your package from Amazon has been delivered to your front door.,Ham
Thanks for joining our webinar on Cloud Architecture Best Practices. You can download the slides and recording here.,Ham
"Hi Sriram, here are the slides from the tech talk on microservices architecture.",Ham
"RE: Your unclaimed inheritance from late uncle. Transfer fee required to release $3,400,000 USD via wire transfer.",Spam
"Hi Team, attached is the revised project roadmap for Q3. Please review and let me know your thoughts before tomorrow's meeting.",Ham
"Hey, thanks for sharing that article on machine learning model optimization! It was really helpful for our architecture.",Ham
"Hi team, we have added new design system components to Figma. Check the design channel for details.",Ham
Refinance your mortgage at record low interest rates! Save up to $700 every month. Get free quote today.,Spam
"Hi all, the office HVAC system has been repaired and temperature control is back to normal.",Ham
Free $250 gas card for essential workers! Complete 3 minute questionnaire to receive yours in mail.,Spam
"Hi team, the release candidate build for v3.0 has passed all regression tests successfully.",Ham
